nama_bandara,latitude,longitude,airport_code
Bunyu Airport,3.45571994781,117.866996765,BYQ
Mangkajang Airport,2.00750994682,117.749000549,WALX
Gamarmalamo Airport,1.838330030441284,127.78600311279295,GLX
Kotamubagu/Mopait Airport,0.6835,124.2757,WAMB
Jailolo/Kuripasai Airport,1.1169999837875366,127.48300170898438,WAMD
Buli Airport,0.9194,128.3825,PGQ
Jalaluddin Airport,0.63711899519,122.849998474,GTO
Naha Airport,3.6832098960876474,125.52799987792967,NAH
Sultan Bantilan Airport,1.123428,120.793658,TLI
Gebe Airport,-0.0788889974355697,129.45799255371094,GEB
Kao Airport,1.1852799654006958,127.89600372314452,KAZ
Sam Ratulangi Airport,1.54926,124.926003,MDC
Melangguane Airport,4.00694,126.672997,MNA
Siau/Sitaro Airport,2.648591,125.423301,BRG
Sultan Babullah Airport,0.831012,127.381611,TTE
Wuasa Airport,-1.4249999523162842,120.31639099121094,WAMU
Buol Airport,1.1027,121.4141,UOL
Batu Licin Airport,-3.41241,115.995003,BTW
Mekar Putih Airport,-3.98991,116.101997,WAOH
Iskandar Airport,-2.7052,111.672997,PKN
Gusti Syamsir Alam Airport,-3.29472,116.165001,KBU
Warukin Airport,-2.21656,115.435997,TJG
Syamsudin Noor International Airport,-3.44236,114.763,BDJ
Sampit (Hasan) Airport,-2.499198,112.974987,SMQ
Teluk Kepayang Airport,-3.4203,115.6867,WAOT
"SANGGU Airport, Buntok",-1.6692999601364136,114.89800262451172,WAOU
Amahai Airport,-3.347851,128.927093,AHI
Bula Airport,-3.10996,130.509995,WAPB
Bandanaira Airport,-4.5214,129.9054,NDA
Rar Gwamar Airport,-5.77222013474,134.212005615,DOB
"Mangole Airport, Falabisahaya",-1.782255,125.482246,MAL
Karel Sadsuitubun Airport,-5.760278,132.759444,LUV
Namrole Airport,-3.85522,126.700902,NRE
Oesman Sadik Airport,-0.635259,127.501999,LAH
Saumlaki/Olilit Airport,-7.98861,131.306,WAPI
Nangasuri Airport,-6.06613,134.273971,BJK
Dumatubin Airport,-5.66162,132.731003,WAPL
Emalamo Sanana Airport,-2.100485,125.965548,SQN
Larat Airport,-7.1282,131.7673,WAPO
Pattimura International Airport,-3.71026,128.089005,AMQ
Namlea Airport,-3.237118,127.100294,NAM
Taliabu Island Airport,-1.6426299810409546,124.55899810791016,TAX
Wahai Airport,-2.8114,129.484,WBA
Robert Atty Bessing,3.575278,116.619722,LNU
Abdul Rachman Saleh Airport,-7.929099,112.714233,MLG
Ngloram Airport,-7.19484166667,111.548166667,CPF
Iswahyudi Airport,-7.615769863128662,111.43399810791016,WARI
Adisutjipto International Airport,-7.78818,110.431999,JOG
Adisumarmo International Airport,-7.516044,110.757492,SOC
Juanda International Airport,-7.37983,112.787003,SUB
Achmad Yani Airport,-6.970732,110.373244,SRG
Trunojoyo Airport,-7.0242,113.89023,SUP
Stenkol Airport,-2.1033,133.5164,NTI
Abresso Airport,-1.496771,134.175,RSK
Kebar Airport,-0.810418,133.054937,KEQ
Fakfak Airport,-2.920508,132.267011,FKQ
Inanwatan Airport,-2.127447,132.160056,INX
Kaimana Airport,-3.6446,133.695116,KNG
Merdei Airport,-1.591154,133.295867,RDE
Marinda Airport,-0.423056,130.773333,RJM
Babo Airport,-2.53224,133.438995,BXB
Rendani Airport,-0.891833,134.048996,MKW
Teminabuan Airport,-1.44545,132.021139,TXM
Wasior Airport,-2.721,134.5061,WSR
Bajawa Soa Airport,-8.707435,121.057427,BJW
Frans Xavier Seda Airport,-8.639514,122.238135,MOF
H. Hasan Aroeboesman (Ende) Airport,-8.849114,121.66101,ENE
Frans Sales Lega Airport,-8.596171,120.478177,RTG
Alor Island - Mali Airport,-8.13234,124.597,ARD
Komodo Airport,-8.480694,119.888306,LBJ
John Becker Airport,-8.015716,127.200179,WATQ
David Constantijn Saudale Airport,-10.7673,123.0747,RTI
Sabu-Tardanu Airport,-10.4924,121.8482,SAU
El Tari Airport,-10.1716,123.670998,KOE
Wamena Airport,-4.097324,138.952417,WMX
Betoambari Airport,-5.48688,122.569,BUW
Matahora Airport,-5.293996,123.634,WNI
Selayar - Haji Aroeppala Airport,-6.17921,120.437479,KSR
Soroako Airport,-2.530582,121.356096,SQR
Pongtiku Airport,-3.04474,119.821999,TTR
Haluoleo Airport,-4.08161,122.417999,KDI
Domine Eduard Osok Airport,-0.894,131.287,SOQ
Nusawiru Airport,-7.719895,108.488995,CJN
Batujajar Airport,-6.90386009216,107.475997925,WI1B
Rumpin Airport,-6.373219966888428,106.62200164794922,WI1C
Gading Wonosari Airport,-7.916590213775635,110.56400299072266,WI1G
Menggala Airport,-4.48943996429,105.217002869,WIAG
Semplak Atang Senjaya Airport,-6.540278,106.755278,WIAJ
Margahayu Airport,-6.98277997971,107.572998047,WIAK
